,change,date,game
162," Pressing ALT now once again shows the Strength / Agility / Intelligence values ??for that hero.  Added a missing tooltip for the  Helm of the Dominator Aura.  When you now boot a game and press ALT, the timer will read ""time"" until Horn rather than day / night.  Fixed a bug with  Wave of Terror not being treated as magical damage.  Added  Glimmer Cape and  Force Staff to the ""Other"" category of the default item build for  Venomancer.  Some tweaks to the map.  The event log is now on the left hand side like before.  Item icons are now considerably larger in size.  The backpack is now vertical and on the right hand side of the HUD.  Text size of Health / Mana have been increased for better readability.  The background of the spells on the HUD is now slightly transparent.  Minimap scaling slider has been removed and instead now replaced with a new option ""Use Extra Large Minimap"" that provides well.  Some of the text on the HUD and pre-game screen has been converted to variable strings rather than hard coded English so they can be easily localized to other languages.  Fixed the crash bug of Update 2.  The Hotkey for a skill point will show up as Ctrl + <hotkey> when there is a skill point available.  Damage / Armor / Movement speed are now in the area where the Backpack used to before.  Support has been added for screens with 4x3 and 5x4 resolutions when using heroes with five or six abilities.",2016-12-13,dota2
163,"Added new Talents system. Every hero has gained a series of Talents that players can select at levels 10/15/20/25, offering powerful augmentations to their capabilities. Select from one of two branches to gain special bonuses. Heroes now have a backpack that allows them to carry three additional items. Items in your backpack are inactive (cannot be activated or grant passive bonuses), and remain so for 6 seconds when moved from backpack. Items cooldown at only half the rate when they are anywhere except your main inventory. Cannot put the following items in your backpack:  Gem of True Sight,  Divine Rapier,  Bloodstone, and  Aegis of the Immortal. Items can always be moved out of backpack with no inactivity timer when near a shop. Disassembling items now tries to fill your inventory or backpack first before dropping to the ground. Disassembling items auto-locks them from combining with other items. Use right click to unlock. Hero kill gold bounty from [110 + Streak + Level * 9.9] to [110 + Streak + Level * 8] Death cost reworked:
 Old: 30 x Hero Level
 New: 100 + Net Worth/50  Old: 30 x Hero Level  New: 100 + Net Worth/50 AoE gold per hero adjusted: Ultimate levels are now at 6/12/18 Heroes no longer have the attribute bonus ability Heroes now have 4 Talents that can be leveled at level 10/15/20/25. Each level gives you two bonuses to choose between. Each hero has their own unique set of bonuses; see below for the list of bonuses. XP required to reach Level 12 is the same as previous Level 11 (level 2 ultimate) XP required to reach Level 18 is the same as previous Level 16 (level 3 ultimate) XP required to reach Level 25 is the same as previous Level 23 Smoothed out XP progression from level 8->13 to be always incrementing
Previously was 800/1000/1000/600/2200/800 Previously was 800/1000/1000/600/2200/800 Adjusted Hero Kill XP Table
Starts to ramp up after level 8 instead of level 6 Starts to ramp up after level 8 instead of level 6 Reworked Respawn Timetable
Ultimate levels roughly same respawn time now as before. 
The pattern is increments by 2, then jumps by 10 after ult levels. Starting at level 18 it increments by 4. Ultimate levels roughly same respawn time now as before.  The pattern is increments by 2, then jumps by 10 after ult levels. Starting at level 18 it increments by 4. Moved Roshan to new area near top Powerup Rune spot Roshan attack range increased from 128 to 150 Roshan armor increased from 5 to 15 Roshan HP reduced from 8000 to 5500 Roshan HP gain per 4 minutes reduced from 700 to 460 Roshan armor gain per 4 minutes increased from 0.7 to 1.1 Added new building type — Shrine (has 1500 HP, 20 Armor) There are Shrines near each team's Secret Shop and new Ancient Camp locations. Shrines can be teleported to. Shrines become vulnerable whenever all Tier 2 towers fall for the respective team. Each team also has 5 Shrines inside the base. Shrines have an ability with a 5 minute cooldown. Allied heroes can right-click to activate it, generating a 500 AoE aura that lasts for 5 seconds. The aura provides 120/40 HP/MP regeneration per second (heal *values increase during the game by 2 HP / 1 MP per minute). Activates once you are in melee range after right-clicking on it. Shrines ability becomes available to use outside of the base once creeps spawn at 0:00. Shrines do not grant vision. Shrines provide a 150 gold bounty for each player on the team when killed. Runes are now two different categories: Powerup Runes (Haste, Double Damage, etc.) and Bounty Runes.
They do not spawn at the start of the game. They do not spawn at the start of the game. Bounty Runes are no longer located in the River.
Including the start of the game. Including the start of the game. Powerup Rune spawns now occur at only one river location at a time. Each of the four jungles now spawns a Bounty Rune every 2 minutes.  Greevil's Greed Bounty Rune multiplier rescaled from 3/4/5/6x to a constant 2x  Bottle now only replenishes 2 charges when filled with a Bounty Rune.
Hero will auto-consume Bounty Runes if Bottle already has full charges. Hero will auto-consume Bounty Runes if Bottle already has full charges. Reworked entire jungle terrain for  Radiant and  Dire (both primary and secondary jungles), and all connecting routes The Primary jungle for each team now has 1 Ancient, 2 hard, 2 medium, and 1 small camp.
Previously 2 hard, 2 medium, and 1 small camp. Previously 2 hard, 2 medium, and 1 small camp. The Secondary jungle for each team now has 1 Ancient, 1 hard, and 1 medium camp.
Previously 1 ancient and 1 hard camp. Previously 1 ancient and 1 hard camp. Reworked the paths and hiding spots to the left and right of the side lanes Reworked many ward spot locations and juke paths Added various juke paths near the map edges between tier 1 and tier 2 towers Adjusted tree distribution to the left of the top radiant barracks New Ancients: Prowler Acolyte and Prowler Shaman Neutrals spawn time from 0:30/1/2/3/4/etc. to 0:30/1/3/5/7/etc. Dying to Neutral creeps now causes your hero to have a minimum respawn time of 26 (equal to level 6 respawn time) Ancients are no longer Spell Immune; now have 70% Magic Resistance. Any that had lower values before still have lower values. The following abilities do not affect Ancients:  Arcane Orb and  Chakram.  Midnight Pulse already ignores Ancients. Neutral creeps now have 1 mana regen. Previously most had no mana regen. Swapped order of Ancient Thunderhide abilities (Slam is now 3rd). Relevant for  Doom. Swapped order of Ancient Black Dragon abilities (Dragonhide Aura is now 3rd). Relevant for  Doom. Tier 4 towers now have the same regeneration as the Ancient.
3 HP/sec. 3 HP/sec. Using TP scroll no longer destroys nearby trees. Terrain around towers has been adjusted to ensure there isn't a spot you can get stuck. Glyph cooldown refresh is now granted 1 second after a Tier 1 tower dies rather than immediately. Ancient Building vision increased from 1900/1200 to 2600. Grants basic vision over the base high ground area. Reduced Effigy building count in each base from 15 to 5 Adjusted Effigy building positions in the base Effigy buildings HP increased from 500 to 1000 Effigy buildings armor increased from 10 to 12 Effigy buildings bounty increased from 111 to 125 to the killer Fixed Glyph not affecting Effigy buildings Tier 2/3/4 towers damage rescaled from 122-182 to 142-162. Same average damage. Illusions now give Gold and XP bounties Illusions provide 5 + Level Gold and XP. For example, a level 15 illusion gives a 20 gold/XP bounty. Illusions attack damage penalty against buildings increased from 30% to 50% Attack Speed bonuses now work on Illusions. Previously some sources worked and most didn't, in particular raw item bonuses. Magic Resistance bonuses no longer work on Illusions. Previously some sources worked and some didn't. The following Auras are now generated by illusions. Most auras behave this way:  Heartstopper Aura,  Precision Aura, and  Essence Aura. Illusions no longer benefit from  Dragon Blood armor bonus. Now the same as how other direct armor bonuses do not benefit illusions. The following illusions have a constant bounty value (rather than the formula above):
 Juxtapose illusions give a constant 5 gold/xp bounty.
 Wall of Replica illusions give a constant 5 gold/xp bounty.  Juxtapose illusions give a constant 5 gold/xp bounty.  Wall of Replica illusions give a constant 5 gold/xp bounty. Root now disables the following movement spells: Burrow Strike, Waveform, Blink Strike, Phantom Strike, Reality Rift, Pounce, Skewer, Ball Lightning, Timber Chain, Rolling Boulder, Icarus Dive, Leap, Poof, and Time Walk. Dispel Mechanics:
Standardized Dispel mechanics - ability tooltips now list if they are Undispellable, Dispellable, or Dispellable only by Strong Dispels.
Abilities that Dispel now list what type of Dispel they apply (Basic Dispel or Strong Dispel).
The following skills are no longer undispellable: Soul Catcher, Stampede slow, Recall, Windrun, Rocket Barrage, Howl, and Sprint.
Insatiable Hunger is no longer dispellable.
Fixed Fatal Bonds continuing to do damage to you after the buff was dispelled Standardized Dispel mechanics - ability tooltips now list if they are Undispellable, Dispellable, or Dispellable only by Strong Dispels. Abilities that Dispel now list what type of Dispel they apply (Basic Dispel or Strong Dispel). The following skills are no longer undispellable: Soul Catcher, Stampede slow, Recall, Windrun, Rocket Barrage, Howl, and Sprint. Insatiable Hunger is no longer dispellable. Fixed Fatal Bonds continuing to do damage to you after the buff was dispelled Cleave Mechanics
Cleave area is now calculated as a cone in the direction of your attack (instead of a circle whose edge starts in front of the attacking unit):
The overall distance from which a unit can be hit is roughly the same with the new cleave values. Cleave area is now calculated as a cone in the direction of your attack (instead of a circle whose edge starts in front of the attacking unit): The overall distance from which a unit can be hit is roughly the same with the new cleave values. Max movement speed increased from 522 to 550 Haste rune duration reduced from 25 to 22 seconds Turn rate cap increased by 15% (turn rate ramps up over time as you start turning, the max values that it reaches while you turn are increased by 15%, not the initial value or acceleration/deceleration rate) Lane creeps now give 50% of experience when denied by neutrals rather than 35% (normal player denies give 50% experience) Temporarily removed the following heroes from Captains Mode: Necrophos, Techies, Lycan, and Treant The following abilities no longer disjoint projectiles: Borrowed Time, True Form, Pounce, Metamorphosis, and Leap The following abilities now disjoint projectiles: Test of Faith, Recall, and Morph Replicate The following projectiles are now disjointable: Splinter Blast secondary hit and Soul Assumption The following abilities no longer have special rules/restrictions for Ancients: Battle Hunger, Adaptive Strike, Electric Vortex, and Last Word The following abilities now use Pseudo Random Distribution: Juxtapose, Craggy Exterior, Alpha Wolf Critical Strike, and Giant Wolf Critical Strike Searing Chains Ensnare now reveals invisible units, similar to other Root debuffs. The following flying vision abilities are reduced in AoE: Unstable Concoction Throw (400->300), Wild Axes (500->350), Spirits impact (300->150), Chain Frost (1000->800), Sprout (1000->750), Sacred Arrow (650->500), Illusory Orb (800->550), Stifling Dagger (600->450), Concussive Shot (400->300), and Static Remnant (600->500) Moon Glaive no longer gets boosted by Spell Amplification. Cleave no longer gets boosted by Spell Amplification. Spell Lifesteal does not trigger heal for things that don't receive spell amplification (Moon Glaive, Cleave). Fixed the following passives not being disabled by Break: Golem Flaming Fists, Golem Permanent Immolation, Last Will, Boar's Poison, Lycan Wolf Cripple, Necronomicon Archer Aura, Necronomicon Mana Break Mist Coil cast point reduced from 0.35 to 0.25 Mist Coil now has a fast projectile
Has 2000 speed. Has 2000 speed. Aphotic Shield cast point reduced from 0.452 to 0.4 TALENTS Greevil's Greed Bounty Rune multiplier rescaled from 3/4/5/6x to a constant 2x TALENTS Cold Feet cannot target a unit already affected by Cold Feet. TALENTS Added a Scepter for Anti-Mage. 
Causes Spell Shield to passively block and reflect a targeted spell once every 12 seconds. Disabled with Break. Causes Spell Shield to passively block and reflect a targeted spell once every 12 seconds. Disabled with Break. TALENTS Added to Captains Mode Spark Wraith vision type changed from flying to ground Flux cast range reduced from 600/700/800/900 to 500/600/700/800 Tempest Double no longer copies consumables (includes Bottle) Tempest Double cooldown increased from 40/35/30 to 60/50/40 Tempest Double gold/XP bounty increased from 160 to 180 Tempest Double now decrements its BKB charges when it uses it TALENTS TALENTS TALENTS TALENTS TALENTS Thirst now lingers for 2 seconds after a target dies. TALENTS Added Scepter to Bounty Hunter. Allows Shuriken Toss to bounce twice on each hero (bounces on everyone once, then bounces through each one again) TALENTS Earth Brewling's Demolish increased from 150% to 300% Storm Brewling's Dispel magic damage to summons increased from 850 to 1000 Drunken Haze is now a proper projectile (1600 speed). Drunken Haze cast point reduced from 0.4 to 0.3 Drunken Haze no longer has different durations for heroes and creeps. Drunken Haze no longer has a 200 radius. Drunken Haze slow rescaled from 14/18/22/26% to 10/20/30/40% Drunken Haze miss chance rescaled from 45/55/65/75% to 70% Drunken Haze duration reduced from 8 to 4 Drunken Haze mana cost reduced from 50 to 25 TALENTS Warpath Max Stacks rescaled from 5/6/7 to 5/7/9 Quill Spray now deals damage as it quickly expands outwards.
At 2400 speed. At 2400 speed. TALENTS Insatiable Hunger lifesteal rescaled from 60/80/100 to 60/90/120 Insatiable Hunger is no longer dispellable. TALENTS TALENTS Reality Rift now applies a -3/4/5/6 armor debuff on the target instead of dealing bonus damage. Chaos Strike no longer applies a -5 armor debuff. Chaos Strike crit chance increased from 10 to 12% Chaos Strike now lifesteals for 50% when it crits. Illusions benefit from this as well. Added Scepter. Reduces cooldown by 20 seconds and allows Phantoms to be cast on an allied hero. 1200 Cast Range TALENTS Penitence slow and amp increased from 15/20/25/30% to 18/24/30/36% Added overhead for the damage dealt with Test of Faith TALENTS Death Pact cooldown rescaled from 45/35/25 to 45/30/15 TALENTS TALENTS Reworked Crystal Maiden Scepter. Now applies Frost Bite to any unit that has been standing in the Freezing Field for over 2.5 seconds. An enemy can only be affected once. TALENTS Wall of Replica no longer deals damage when heroes walk through it. Wall of Replica now applies a 1-second 75% slow to units that cross and proc the wall. TALENTS Multiple instances of Poison Touch stack. TALENTS TALENTS TALENTS Infernal Blade mini-stun increased from 0.3 to 0.4 seconds TALENTS Elder Dragon Form Corrosive Breath now affects the splashed targets. Dragon Tail is now a fast projectile while in Dragon Form. TALENTS Movement Speed reduced by 10 TALENTS Magnetize debuff now has an overhead counter (similar to Replicate). TALENTS TALENTS Astral Spirit attack damage per hero increased from 10/20/30/40 to 12/24/36/48 Natural Order Armor reduction aura is centered around the hero, and the magical reduction aura is centered around the spirit.
 Note: When the spirit is inside your hero, both auras are centered around your hero.  Note: When the spirit is inside your hero, both auras are centered around your hero. Natural Order now removes 40/60/80/100% of the base magic resistance, rather than a fixed amount.
Primarily impacts heroes with non-standard base magic resistances. Primarily impacts heroes with non-standard base magic resistances. Natural Order aura increased from 275 to 325 TALENTS Activate Fire Remnant damage rescaled from 100/150/200 to 100/200/300 Slight of Fist now places Ember Spirit in front of the target (from the direction of his casting location), rather than randomly around the hero.
Previously resulted in random areas of distribution for cleave. Previously resulted in random areas of distribution for cleave. TALENTS TALENTS Eidolon movement speed increased from 260/280/300/320 to 280/300/320/340 Black Hole now slowly rotates enemy units as it pulls them into the center. TALENTS TALENTS Scepter attack interval from 1.2 to 1.1 Homing Missile now has low attack priority.
Creeps already do 0 damage to it. Creeps already do 0 damage to it. TALENTS TALENTS EMP damage changed from Pure to Magical EMP damage per mana burned increased from 50% to 60% Invoke is no longer an upgradeable ability. Invoke cooldown rescaled from 22/17/12/5 to 6 Invoke mana cost rescaled from 20/40/60/80 to 60 Invoke no longer consumes mana when only slot positions are updated. Invoke Scepter cooldown rescaled from 16/8/4/2 to 2 Invoker no longer has a +6 Attribute Bonus ability at level 25. Deafening Blast is no longer automatically upgraded when Reagents are level 7. Forged Spirits no longer spawn multiple when Quas/Exort are level 4. Invoker no longer gains passive attributes when leveling Reagents. Active Exort instances damage bonus increased from 3/6/9/12/.. to 4/8/12/16/.. Active Quas instances HP regen increased from 1/2/3/4/.. to 1.5/3/4.5/6/.. TALENTS TALENTS Liquid Fire attack slow increased from 20/30/40/50 to 30/40/50/60 Liquid Fire is no longer a Unique Attack Modifier. Macropyre radius increased from 240 to 260 TALENTS TALENTS TALENTS TALENTS Overwhelming Odds damage per Hero increased from 20/40/60/80 to 30/60/90/120 Overwhelming Odds base damage rescaled from 40/80/120/160 to 40/60/80/100 TALENTS Lightning Storm jumps rescaled from 4/5/6/7 to 4/6/8/10 Lightning Storm cast point reduced from 0.6 to 0.45 TALENTS Frost Armor can now target invulnerable structures. TALENTS TALENTS TALENTS Finger of Death Scepter AoE increased from 300 to 325 TALENTS Returning from True Form to Druid Form reduced from 1.9 to 0.8
Transforming to bear form still takes 1.9 seconds. Transforming to bear form still takes 1.9 seconds. Spirit Bear now has 0.5 Mana regen. TALENTS TALENTS Hero reworked: Howl now behaves like a normal buff, rather than a pseudo-aura. Howl duration increased from 10 to 13 Howl hero bonus damage reduced from 14/26/38/50 to 10/15/20/25 Howl creep bonus damage reduced from 5/10/15/20 to 4/6/8/10 Howl provides 50/100/150/200 Max HP increase to heroes, 25/50/75/100 to non-heroes. Howl has double the effect (damage/HP) at nighttime. Feral Impulse no longer provides 15/20/25/30 Attack Speed. Feral Impulse bonus damage rescaled from 15/20/25/30% to 15/26/37/48% damage Feral Impulse now provides 1/4/7/10 HP regeneration. Summoned Wolves Base Attack Time reduced from 1.25/1.2/1.15/1.1 to 1.2/1.1/1.0/0.9 Summoned Wolves no longer gain 15 HP regen at level 4. Summoned Wolves now gain invisibility at level 4. Summoned Wolves now gain cripple at level 3. Cripple attack speed slow increased from 40 to 60 TALENTS Skewer cooldown reduced from 30 to 25 TALENTS TALENTS Meepo clones now share full attributes without Scepter. Earthbind no longer interrupts channeling spells (it previously did on initial cast but not refresh). Meepo strength gain reduced from 1.6 to 1.3 TALENTS Added a charge indicator for Mirana's ultimate scepter Starstorm TALENTS TALENTS Fixed Rip Tide treating Naga as the damage source rather than her illusions when the illusions apply Rip Tide
Fixes interactions with things like Spiked Carapace. Fixes interactions with things like Spiked Carapace. TALENTS Wrath of Nature damage increment per bounce increased from 7% to 11% Wrath of Nature base damage reduced from 140/180/225 to 110/140/170
Has greater damage on the ~8th bounce. Has greater damage on the ~8th bounce. Scepter Wrath of Nature bounce count no longer increases from 16 to 18. Scepter Wrath of Nature base damage reduced from 155/210/275 to 135/170/205
Has same +22% base damage increase from base. Has same +22% base damage increase from base. TALENTS Hero reworked: Reaper's Scythe Scepter upgrade no longer disables buyback or deals extra damage. Reaper's Scythe Scepter upgrade reduces cooldown to 55/40/25. Death Pulse now passively provides 1/3/5/7 HP/MP regen for 7 seconds for each unit you kill (10x for heroes). Death Pulse damage reduced from 125/175/225/275 to 80/120/160/200 Death Pulse heal reduced from 70/90/110/130 to 60/80/100/120 Replaced Sadist with a new ability, Ghost Shroud. Turns you Ethereal for 3/3.5/4/4.5 seconds and grants you a 600 AoE slow aura that reduces enemy movement speed by 12/20/28/36%. While you are in this form you take 20% more magic damage but any HP/MP you heal is amplified by 50%. Cooldown: 28/24/20/16 TALENTS TALENTS TALENTS TALENTS Repel Spell Immunity now behaves the same as Black King Bar (not dispellable). Repel duration reduced from 5/6/7/8 to 4/5/6/7 Repel cooldown increased from 20/18/16/14 to 30/26/22/18 Repel can no longer be cast on enemies. Purification heal rescaled from 90/180/270/360 to 90/160/230/300 Purification cooldown rescaled from 9 to 11/10/9/8 Purification mana cost reduced from 100/120/140/160 to 70/90/110/130 TALENTS TALENTS Astral Imprisonment cast range rescaled from 225/350/475/600 to 225/300/375/450 TALENTS Stifling Dagger base damage reduced from 75 to 70 TALENTS Phantom Rush now provides 6/12/18/24 Agility when you reach the enemy. Lasts 2 seconds.
Also affects Illusions. Also affects Illusions. Phantom Rush minimum proc range reduced from 300 to 250 Added Scepter to Phantom Lancer. Causes Spirit Lance to bounce on nearby enemies. Bounce Range: 400. Bounce cap: 5 TALENTS Sun Ray changed from Pure to Magical damage type Sun Ray Max HP damage increased from 1.25/2.5/3.75/5% to 1.5/3.25/5.0/6.75% Sun Ray base damage increased from 10/15/20/25 to 14/20/26/32 Icarus Dive slow increased from 25% to 28% TALENTS TALENTS TALENTS Nether Ward mana regen reduction per second rescaled from 1.5/3/4.5/6 to 0.25/0.5/0.75/1% TALENTS Base attack time reduced from 1.6 to 1.5 TALENTS TALENTS Added a Scepter for Riki. Increases ultimate duration by 4 seconds. Allows you to target an allied hero, hiding inside them for the duration. The radius that you attack in follows the allied hero. 1000 Cast Range. TALENTS Fade Bolt damage increased from 75/150/225/300 to 80/160/240/320 Fade Bolt damage reduction per bounce increased from 4% to 8% TALENTS Burrow Strike Scepter upgrade no longer applies Caustic Finale on illusions, only real heroes. TALENTS TALENTS Shadow Raze cast point reduced from 0.67 to 0.55 TALENTS Mass Serpent Wards no longer deal damage in 175 AoE. Mass Serpent Wards damage rescaled from 40/60/80 to 40/70/100 Reworked Mass Serpent Wards Scepter. Now causes Serpent Wards to have a split shot, attacking two units each for full damage. Scepter Mass Serpent Wards attack range increases by 225. TALENTS TALENTS Reworked Skywrath Mage's Scepter. 
Anytime you cast an ability, a different random nearby target (heroes prioritized) will be targeted within 700 AoE of the target. For example, if you Ancient Seal a target, you will also Ancient Seal another target. If you Mystic Flare an area, a random nearby target (heroes prioritized) that isn't in the existing target area (but is within 700 range from the location) will also be hit. Anytime you cast an ability, a different random nearby target (heroes prioritized) will be targeted within 700 AoE of the target. For example, if you Ancient Seal a target, you will also Ancient Seal another target. If you Mystic Flare an area, a random nearby target (heroes prioritized) that isn't in the existing target area (but is within 700 range from the location) will also be hit. TALENTS TALENTS Added Scepter to Slark. Reduces ultimate cooldown from 60 to 30 and causes Shadow Dance active to be a 325 AoE, hiding allied heroes underneath it. TALENTS Added Scepter to Sniper. Assassinate is now a ground targeted spell with 400 AoE. Upon cast, it locks onto the targets in the area, and after the channel period launches a 2.8x critical strike and procs headshot on the player-controlled units in the AoE. (Only affects visible heroes/illusions) TALENTS TALENTS TALENTS TALENTS TALENTS Hero reworked: Land Mines renamed to Proximity Mines Proximity Mines are no longer revealed with True Sight, and instead become visible when there is an enemy within 400 AoE. Proximity Mines detonate whenever an enemy is standing in the AoE for 1.6 seconds (if you walk in and out instantly, it doesn't explode). Proximity Mines require 1.75 seconds to be active and invisible. Proximity Mines can no longer be auto-attacked (via attack-move). Proximity Mines damage type is now Magical. Proximity Mines cooldown increased from 9/8/7/5 to 12 Proximity Mines damage increased from 150/190/225/260 to 225/400/575/750 Proximity Mines mana cost is 110/130/150/170. Proximity Mines do full damage in the AoE (rather than half at a certain radius). Proximity Mines can no longer be placed within the active AoE of another Proximity Mine (400 AoE). Proximity Mines have 1 HP. Proximity Mines deal 25% damage to buildings. Proximity Mines bounty changed from 10/14 gold/XP to 30/0 Proximity Mines now do damage based on the current level of the ability, rather than its level when placed. Proximity Mines must be directly targeted to be attacked. Quell can no longer target Proximity mines (Quelling Blade, Iron Talon, Battle Fury). Replaced Suicide Squad Attack with Blast Off Blast Off is a 400 AoE spell and has a 1000 cast range; propels you towards the target location and then explodes Blast Off deals 300/400/500/600 Magical damage and silences enemies for 4/5/6/7 seconds. Blast Off deals 50% of your Max HP to yourself upon landing at the destination. Blast Off has a 35 second cooldown. Blast Off has a 1 second cast time. Stasis Trap now roots enemies instead of stunning. Stasis Trap no longer has a 1.5 detonation delay. Stasis Trap activation time increased from 1.5 to 2 Stasis Trap Trigger radius reduced from 450 to 400 Stasis Trap effect radius increased from 450 to 600 Stasis Trap root duration is 2/3/4/5. Stasis Trap no longer expire. Stasis Trap no longer gives vision, but reveals the area upon detonation. Remote Mines now have a 0.25 second Detonation delay. Remote Mines cast time reduced from 1.5 to 1.0 TALENTS Psi Blades now work when illusions of Templar Assassin attack TALENTS TALENTS Gush projectile speed reduced from 4000 to 2500 TALENTS TALENTS TALENTS Craggy Exterior Armor increased from 2/3/4/5 to 3/4/5/6 Craggy Exterior proc now only affects melee heroes, no longer has a 300 range. Craggy Exterior proc damage increased from 25/35/45/55 to 40/50/60/70 Craggy Exterior chance rescaled from 10/15/20/25% to 25% Craggy Exterior stun duration rescaled from 1/1.25/1.5/1.75 to 0.5/1.0/1.5/2 TALENTS Hero reworked: Nature's Guise is now a passive ability. Whenever you are within 265 range of a tree for 6/5/4/3 seconds (without attacking), you gain invisibility and 16/22/28/34% movement speed bonus. When you attack out of invisibility, you bash the target for 1/1.4/1.8/2.2 seconds. Distance-to-tree check still has a 0.75 grace period before invisibility is removed. Your attack out of invisibility cannot miss. You can cast while invisible. TALENTS TALENTS Walrus Kick range increased from 900 to 1400 Walrus Punch attack range increased from 128 to 150 Walrus Kick attack range increased from 128 to 150 Fixed Walrus Punch having old cooldown values on level 1 and 2 when Scepter is equipped (it went from 36/24/12 to 20/16/12) TALENTS Added to Captains Mode Pit of Malice no longer pierces Spell Immunity. Pit of Malice no longer interrupts. Pit of Malice no longer deals damage. Pit of Malice root duration reduced from 1/1.5/2/2.5 to 0.9/1.2/1.5/1.8 Pit of Malice now affects units every 3.5 seconds. Pit of Malice duration increased from 7 to 12 Pit of Malice radius increased from 275 to 375 Pit of Malice cast point reduced from 0.6 to 0.45 Pit of Malice cooldown increased from 21/18/15/12 to 30/26/22/18 Dark Rift radius increased from 450 to 600 Dark Rift delay increased from 5/4/3 to 6/5/4 TALENTS Flesh Golem Heal increased from 6% per hero to 10% TALENTS TALENTS Wave of Terror damage type changed from Pure to Magic Wave of Terror damage increased from 30/50/70/90 to 45/70/95/120 TALENTS TALENTS Nether Toxin base damage increased from 2.5/5/7.5/10 to 3/6/9/12 (Maximum damage increased from 40/80/120/160 to 48/96/144/192) TALENTS Gravekeeper's Cloak minimum damage threshold increased from 15 to 50 Gravekeeper's Cloak now reduces all damage by 8/12/16/20% per layer. Gravekeeper's Cloak recovery time rescaled from 3 to 6/5/4/3 Gravekeeper's Cloak now affects Familiars within 900 distance of your hero (their block is based on your stack count). Summon Familiars cooldown reduced from 180/160/140 to 160/145/130 Familiars now have 500/750/1000 HP (instead of 3 hits). Familiars now interact with regeneration effects normally. Familiars no longer regenerate attack damage with Stone Form. Familiars attack damage recharge time reduced from 15 to 2 Familiars are no longer Spell Immune. Familiars now have 35% magic resistance. Familiars movement speed rescaled from 380/390/400 to 430 Familiars damage per charge rescaled from 8/14/22 to 8/16/24 Stone Form duration reduced from 8 to 6 seconds Stone Form cooldown reduced from 20 to 14 TALENTS Fatal Bonds mana cost increased from 120 to 140 Fixed Fatal Bonds continuing to do damage to you after the buff was dispelled TALENTS Agility gain from 2.5 to 2.8 TALENTS Powershot damage reduction per unit hit increased from 10% to 20% Powershot damage rescaled from 120/200/280/360 to 120/220/320/420 TALENTS TALENTS Maledict DPS increased from 5/10/15/20 to 7/14/21/28 TALENTS Reincarnation cooldown reduced from 260/160/60 to 240/140/40 TALENTS Reworked Zeus Scepter. 
Grants you a new ability, Nimbus, that creates a storm cloud anywhere on the map. The cloud casts Lightning Bolt automatically on a random enemy within 500 AoE once every 2.5 seconds (scales with cooldown reduction). Clouds last 50 seconds. Cooldown: 50, Mana cost: 275. Requires 8 hits from ranged heroes to kill (4 from melee heroes, 16 from non-heroes), and has a 100 gold bounty. Nimbus summon is a global cast range. Grants you a new ability, Nimbus, that creates a storm cloud anywhere on the map. The cloud casts Lightning Bolt automatically on a random enemy within 500 AoE once every 2.5 seconds (scales with cooldown reduction). Clouds last 50 seconds. Cooldown: 50, Mana cost: 275. Requires 8 hits from ranged heroes to kill (4 from melee heroes, 16 from non-heroes), and has a 100 gold bounty. Nimbus summon is a global cast range. TALENTS Passive block chance reduced from 100% to 50% Passive block amount increased from 40/20 (melee/ranged) to 70/35 Cast range bonus increased from 200 to 220 Recipe cost increased from 550 to 600 Self attack speed reduced from 35 to 30 Aura attack speed increased from 20 to 25	 No longer reduces respawn time to less than 1 second Regeneration now behaves like Blink and only dispels if actual damage was taken, and only if the damage source is from a player or Roshan.
Along with Clarity Potion, Healing Salve, and Urn. Along with Clarity Potion, Healing Salve, and Urn. Bottle now only replenishes 2 charges when filled with a Bounty Rune.
Hero will auto-consume Bounty Runes if Bottle has full charges. Hero will auto-consume Bounty Runes if Bottle has full charges. Recipe cost reduced from 210 to 190 Mana restore increased from 1000 to 1500 Regeneration now behaves like Blink and only dispels if actual damage was taken, and only if the damage source is from a player or Roshan.
Along with Healing Salve, Bottle, and Urn. Along with Healing Salve, Bottle, and Urn. Passive block chance reduced from 100% to 50% Passive block amount increased from 32/16 (melee/ranged) to 70/35 Guard Damage Block increased from 55 to 60 Guard now affects buildings Bonus damage reduced from 81 to 76 Critical strike increased from 2.2x to 2.3x Diffusal Blade can only target enemies now.
Cannot self-target. Cannot self-target. Mana break on illusions reduced from 20/10 to 16/8 Mana break on heroes increased from 40 to 50 Diffusal Blade damage per mana burned reduced from 100% to 80% Strength reduced from 13 to 12 Item reworked. Swiftness Aura is now a +20 Movement Speed aura. Intelligence bonus reduced from 9 to 6 Recipe now requires Sage's Mask instead of Ring of Regeneration Provides +50% Mana Regeneration instead of 3 Health Regeneration No longer requires 5 mana to cast. Enchanted Mangoes on sale for 110 gold No longer a Unique Attack Modifier.
Previously was only partially a Unique Attack Modifier. Previously was only partially a Unique Attack Modifier. True Sight no longer granted to Illusions	 Cooldown reduced from 16 to 14 Regeneration increased from 4.75% to 7% Regeneration now behaves like Blink and only dispels if actual damage was taken, and only if the damage source is from a player or Roshan.
